case_id,interval_start,recorded_load_mw,source_archive_sha256
spring-2023,2023-04-11T19:00:00-05:00,46896.17,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T20:00:00-05:00,46957.153,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T21:00:00-05:00,45739.071,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T22:00:00-05:00,42821.098,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T23:00:00-05:00,39684.596,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T00:00:00-05:00,37371.65,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T01:00:00-05:00,35957.579,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T02:00:00-05:00,35036.753,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T03:00:00-05:00,34687.149,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T04:00:00-05:00,35070.645,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T05:00:00-05:00,36760.646,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T06:00:00-05:00,39755.964,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T07:00:00-05:00,40824.145,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T08:00:00-05:00,41160.481,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-12T09:00:00-05:00,41708.409,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
